Name,Age,Ht.,Nickname,Endeavor record,MMA record,Weight Class,Weight Class Index,Overall Wins,Overall Losses,UFC Wins,UFC Losses,k_wins,sb_wins,d_wins,hd_strk,lg_stk,bd_strk,st_land,st_attemp,tk_land,tk_attemp,strksL_perm,strksAb_perm,takedAv_per,subAvg_perm,strk_d,take_d,kd_rat,av_time,stand_stk,clinch_stk,grnd_stk,Rank,Reign(total),Defenses,ex_champ
Allen Crowder,29,75.19669999999998,Pretty Boy,1 1,10 3 (1 NC),Heavyweight,0,10, 3 ,1,1,5.0,3.0,1.0,18.0,8.0,1.0,27.0,68.0,,3.0,2.7,6.79,1.5,1.5,58.0,10.0,0.00,05:01,21.0,3.0,3.0,,,,False
Dmitry Sosnovskiy,29,75.19669999999998,Wicked Machine,1 0,11 0,Heavyweight,0,11, 0,1,0,6.0,2.0,2.0,22.0,1.0,5.0,28.0,40.0,2.0,3.0,2.95,2.53,3.16,3.16,35.0,10.0,0.00,09:29,10.0,5.0,13.0,,,,False
Blagoy Ivanov,32,70.866,Baga,1 1,17 2 (1 NC),Heavyweight,0,17, 2 ,1,1,6.0,6.0,2.0,90.0,4.0,29.0,123.0,407.0,,,3.08,4.5,0.0,0.0,56.0,10.0,0.00,20:00,119.0,4.0,0.0,14.0,,,False
Augusto Sakai,27,75.9841,,2 0,13 1 1,Heavyweight,0,13, 1 ,2,0,10.0,0.0,2.0,81.0,9.0,21.0,111.0,218.0,1.0,1.0,7.9,11.17,1.07,0.0,58.0,89.0,0.00,14:03,69.0,30.0,12.0,,,,False
Maurice Greene,32,79.13369999999998,The Pirate,2 0,7 2,Heavyweight,0,7 ,2,2,0,1.0,4.0,1.0,48.0,20.0,11.0,79.0,176.0,,,4.58,3.83,0.0,0.87,54.0,67.0,0.00,08:37,62.0,17.0,0.0,,,,False
Justin Frazier,29,72.0471,The Grizzly Bear,0 1,10 3,Heavyweight,0,10, 3,0,1,,,,0.0,0.0,4.0,4.0,6.0,,,1.11,6.11,0.0,0.0,4.0,0.0,03:36,08:37,62.0,17.0,0.0,,,,False
Juan Espino,38,75.9841,El Guapo,1 0,9 1,Heavyweight,0,9 ,1,1,0,,,,19.0,0.0,3.0,22.0,23.0,,,6.11,1.11,8.33,8.33,33.0,0.0,03:36,08:37,62.0,17.0,0.0,,,,False
Juan Adams,27,77.1652,The Kraken,1 1,5 1,Heavyweight,0,5 ,1,1,1,5.0,0.0,0.0,74.0,4.0,8.0,86.0,144.0,2.0,2.0,7.84,4.29,2.74,0.0,48.0,80.0,0.00,10:58,38.0,13.0,35.0,,,,False
Greg Hardy,30,77.1652,,1 1,4 1,Heavyweight,0,4 ,1,1,1,3.0,0.0,0.0,21.0,3.0,5.0,29.0,64.0,,,3.88,2.41,0.0,0.0,64.0,67.0,0.00,07:28,17.0,6.0,6.0,,,,False
Jairzinho Rozenstruik,31,74.01559999999998,Bigi Boy,1 0,7 0,Heavyweight,0,7 ,0,1,0,5.0,0.0,1.0,15.0,4.0,0.0,19.0,27.0,,,3.22,3.05,0.0,0.0,33.0,67.0,2.54,05:54,9.0,5.0,5.0,,,,False
Jeff Hughes,30,74.01559999999998,Lights Out,0 1,10 2,Heavyweight,0,10, 2,0,1,4.0,1.0,5.0,42.0,13.0,11.0,66.0,143.0,,1.0,4.4,5.07,0.0,0.0,57.0,10.0,0.00,15:00,62.0,4.0,0.0,,,,False
Ed Herman,38,74.01559999999998,Short Fuse,10 11 (1 NC),23 14 (1 NC),Light heavyweight,1,23, 14,10, 11,6.0,13.0,4.0,397.0,60.0,167.0,624.0,1253.0,32.0,62.0,3.18,3.1,2.45,1.22,45.0,61.0,0.23,09:20,276.0,165.0,183.0,,,,False
Mauricio Rua,37,72.8345,Shogun,10 9,26 11,Light heavyweight,1,26, 11,10, 9,20.0,1.0,4.0,453.0,163.0,112.0,728.0,1396.0,21.0,56.0,3.51,4.13,1.74,0.29,55.0,46.0,1.01,10:54,480.0,123.0,125.0,14.0,,,False
Jon Jones,31,75.9841,Bones,18 1 (1 NC),24 1 (1 NC),Light heavyweight,1,24, 1 ,18, 1 ,10.0,6.0,7.0,645.0,342.0,313.0,1300.0,2270.0,36.0,85.0,4.48,2.05,2.07,0.52,65.0,95.0,0.26,14:31,797.0,241.0,262.0,0.0,"1,501",1.0,True
Jon Jones,31,75.9841,Bones,18 1 (1 NC),24 1 (1 NC),Light heavyweight,1,24, 1 ,18, 1 ,10.0,6.0,7.0,645.0,342.0,313.0,1300.0,2270.0,36.0,85.0,4.48,2.05,2.07,0.52,65.0,95.0,0.26,14:31,797.0,241.0,262.0,0.0,0,0.0,True
Jon Jones,31,75.9841,Bones,18 1 (1 NC),24 1 (1 NC),Light heavyweight,1,24, 1 ,18, 1 ,10.0,6.0,7.0,645.0,342.0,313.0,1300.0,2270.0,36.0,85.0,4.48,2.05,2.07,0.52,65.0,95.0,0.26,14:31,797.0,241.0,262.0,0.0,128,1.0,True
Igor Pokrajac,40,72.0471,The Duke,4 8 (1 NC),28 13 (1 NC),Light heavyweight,1,28, 13,4,8  ,0.0,0.0,0.0,228.0,20.0,24.0,272.0,592.0,7.0,24.0,2.25,4.26,0.87,0.25,40.0,51.0,0.50,09:19,153.0,81.0,38.0,,,,False
Alexander Gustafsson,32,77.1652,The Mauler,10 5,18 5,Light heavyweight,1,18, 5,10, 5,11.0,3.0,4.0,484.0,80.0,99.0,663.0,1667.0,18.0,45.0,4.01,3.51,1.63,0.45,52.0,85.0,0.82,11:01,496.0,59.0,108.0,2.0,,,False
Antonio Rogerio Nogueira,42,74.01559999999998,Minotouro (Little Nog),6 5,23 8,Light heavyweight,1,23, 8,6,5,7.0,6.0,9.0,217.0,15.0,57.0,289.0,808.0,1.0,1.0,2.74,6.12,0.14,0.28,61.0,63.0,0.57,09:36,198.0,43.0,48.0,,,,False
Ovince Saint Preux,36,75.19669999999998,OSP,13 9,23 13,Light heavyweight,1,23, 13,13, 9,11.0,7.0,5.0,304.0,48.0,90.0,442.0,1017.0,9.0,34.0,2.6,3.95,0.88,0.44,45.0,66.0,0.27,09:26,329.0,50.0,63.0,12.0,,,False
Gian Villante,33,74.01559999999998,,10 9,17 11,Light heavyweight,1,17, 11,10, 9,10.0,2.0,5.0,502.0,151.0,88.0,741.0,1756.0,5.0,22.0,4.49,6.43,0.45,0.0,56.0,83.0,0.27,11:00,661.0,49.0,31.0,,,,False
