names,reach,reach2
Teemu Packalen,"Jul. 18, 2015",75.50
Islam Makhachev,"May. 23, 2015",70.50
Magomed Mustafaev,"Jun. 20, 2015",71.00
Andrew Holbrook,40.00,
Scott Holtzman,"Aug. 08, 2015",69.00
Joaquim Silva,69.00,39.00
Chris Gruetzemacher,,
Ryan Hall,,
David Teymur,"Feb. 27, 2016",73.00
Thibault Gouti,72.50,41.50
Damir Hadzovic,"Apr. 10, 2016",70.00
Darrell Horcher,"Apr. 17, 2016",72.00
Lando Vannata,"Jul. 14, 2016",71.00
Jessin Ayari,"Sep. 03, 2016",73.50
Jason Gonzalez,,
Marc Diakiese,39.00,
Claudio Puelles,,
Devin Powell,,
Drakkar Klose,70.00,39.00
Davi Ramos,,
Desmond Green,73.00,40.00
Jared Gordon,68.00,38.00
Justin Gaethje,71.00,
Alex Reyes,,
Nasrat Haqparast,72.00,41.00
Matt Frevola,71.00,40.00
Alexander Hernandez,72.00,39.50
Dan Moret,73.00,42.50
John Gunther,,
Allan Zuniga,,
Michael Trizano,73.00,40.00
Christos Giagos,71.00,
Te Edwards,,
Don Madge,,
Devonte Smith,,
Thiago Moises,70.00,
Jesus Pinedo,,
Roosevelt Roberts,,
Alex Gorgees,,
Jalin Turner,,
Damir Ismagulov,,
Callan Potter,,
Joel Alvarez,,
Rafael Fiziev,,
Arman Tsarukyan,,
Thomas Gifford,,
Mike Davis,,
Gilbert Melendez,"May. 20, 2012",73.00
Frankie Edgar,37.00,
Cub Swanson,"Nov. 12, 2011",70.00
Jeremy Stephens,"May. 27, 2007",71.00
Jose Aldo,70.00,40.00
Ricardo Lamas,71.00,39.00
Darren Elkins,71.00,39.00
Chan Sung Jung,38.00,
Michael Johnson,"Dec. 05, 2010",73.50
Alex Caceres,"Mar. 27, 2011",73.50
Max Holloway,69.00,42.00
Myles Jury,73.00,42.50
Kurt Holobaugh,73.00,40.00
Andre Fili,"Oct. 20, 2013",74.00
Zubaira Tukhugov,"Feb. 15, 2014",68.00
Mirsad Bektic,,
Chas Skelly,"Apr. 19, 2014",72.00
Brian Ortega,69.00,39.00
Charles Rosa,69.00,39.00
Gabriel Benitez,"Nov. 15, 2014",71.00
Yair Rodriguez,"Nov. 15, 2014",71.00
Renato Moicano,72.00,42.50
Makwan Amirkhani,72.00,41.00
Arnold Allen,"Jun. 20, 2015",70.00
Enrique Barzola,"Nov. 21, 2015",70.00
Kyle Bochniak,70.00,38.50
Josh Emmett,70.00,39.50
Jordan Rinaldi,"May. 30, 2016",72.00
Rick Glenn,70.50,40.50
Martin Bravo,71.50,38.00
Alexander Volkanovski,71.50,36.00
Shane Burgos,75.50,40.00
Gavin Tucker,,
Daniel Teymur,69.00,38.00
Danny Henry,73.00,40.00
Calvin Kattar,40.00,
Humberto Bandenay,71.50,40.00
Zabit Magomedsharipov,73.00,42.00
Shane Young,72.50,39.00
Sheymon Moraes,72.00,40.00
Julio Arce,39.00,
Dan Ige,71.00,38.00
Austin Arnett,72.00,41.00
Steven Peterson,70.00,39.50
Hakeem Dawodu,73.50,40.50
Tyler Diamond,,
Bryce Mitchell,70.00,40.00
Luis Pena,76.00,42.50
Nad Narimani,70.00,40.50
Matt Sayles,68.00,38.00
Kyle Nelson,,
Chris Fishgold,,
Bobby Moffett,74.00,
Julian Erosa,75.00,41.00
Anderson Dos Santos,,
Kevin Aguilar,,
Suman Mokhtarian,,
Sodiq Yusuff,71.00,40.00
Jordan Griffin,72.50,
Kron Gracie,,
Grant Dawson,,
Mike Grundy,,
Eddie Wineland,36.00,
Rani Yahya,"Jan. 23, 2011",67.00
Dominick Cruz,37.00,
Bryan Caraway,"Jul. 21, 2012",68.00
Raphael Assuncao,66.50,38.50
Renan Barao,"May. 29, 2011",70.00
Iuri Alcantara,"Aug. 27, 2011",71.00
Johnny  Eduardo,38.00,
John Dodson,"Dec. 04, 2011",66.00
TJ Dillashaw,67.00,38.25
John Lineker,"May. 05, 2012",67.00
Mitch Gagnon,"Jul. 21, 2012",65.50
Kyung Ho Kang,39.00,
Sergio Pettis,69.00,38.00
Davey Grant,"Dec. 01, 2013",69.00
Teruto Ishihara,"Sep. 26, 2015",69.00
Douglas Silva de Andrade,"Feb. 15, 2014",68.00
Aljamain Sterling,"Feb. 22, 2014",71.00
Pedro Munhoz,64.50,36.50
Patrick Williams,79.00,
Louis Smolka,68.50,37.50
Rob Font,71.50,38.50
Frankie Saenz,"Aug. 16, 2014",66.00
Thomas Almeida,,
Henry Briones,38.00,
Guido Cannetti,"Nov. 15, 2014",68.00
Alejandro Perez,67.00,36.50
Marlon Vera,"Nov. 15, 2014",70.50
Cody Garbrandt,65.50,38.00
Jimmie Rivera,68.50,37.00
Luke Sanders,"Jan. 17, 2016",67.00
Matthew Lopez,69.00,38.00
Brett Johns,,
Kwan Ho Kwak,39.00,
Matt Schnell,70.00,38.00
Ricardo Ramos,72.00,40.00
Aiemann Zahabi,68.50,38.00
Andre Soukhamthath,70.00,37.50
Tom Duquesnoy,68.00,37.50
Brian Kelleher,66.00,38.00
Marlon Moraes,67.00,37.00
Cody Stamann,64.50,35.00
Bharat Kandare,,
Cory Sandhagen,,
Wuliji Buren,69.00,38.00
Merab Dvalishvili,68.00,38.00
Benito Lopez,,
Alex Perez,65.50,38.00
Mark De La Rosa,65.00,38.00
Brandon Davis,72.00,39.00
Manny Bermudez,,
Ricky Simon,69.00,38.00
Nathaniel Wood,69.00,39.00
Brad Katona,65.00,36.00
Raoni Barcelos,67.00,39.00
Petr Yan,67.00,38.00
Said Nurmagomedov,70.00,38.50
Pingyuan Liu,"Jul. 22, 2018",70.00
Khalid Taha,,
Montel Jackson,75.50,41.00
Jin Soo Son,,
Andre Ewell,76.00,
Jonathan Martinez,,
Martin Day,73.50,40.50
Vince Morales,,
Chris Gutierrez,69.00,
Mario Bautista,72.00,
Ryan MacDonald,,
Casey  Kenney,68.00,
Randy Costa,,
Boston Salmon,,
Cole Smith,,
Joseph Benavidez,65.00,36.00
Tim Elliott,38.00,
Jussier Formiga,67.00,37.00
Ryan Benoit,68.50,38.00
Wilson Reis,65.00,36.50
Henry Cejudo,"Dec. 13, 2014",64.00
Alexandre Pantoja,67.50,36.50
Eric Shelton,68.00,36.50
Deiveson Figueiredo,68.00,38.00
Ashkan Mokhtarian,67.00,38.00
Joseph Morales,68.00,38.00
Rogerio Bontorin,67.00,
Jordan Espinosa,71.00,
Cat Zingano,68.00,38.00
Amanda Nunes,"Aug. 04, 2013",69.00
Holly Holm,"Feb. 28, 2015",69.00
Cris Cyborg,68.00,39.00
Megan Anderson,,
Leah Letson,,
Julija Stoliarenko,,
Germaine de Randamie,41.00,
Sara McMann,37.00,
Amanda Nunes,"Aug. 04, 2013",69.00
Raquel Pennington,37.00,
Julianna Peña,39.00,
Bethe Correia,64.00,36.50
Sarah Moras,67.00,38.50
Marion Reneau,68.00,39.00
Holly Holm,"Feb. 28, 2015",69.00
Lina Lansberg,,
Ketlen Vieira,68.00,39.50
Irene Aldana,68.50,38.50
Gina Mazany,68.50,38.00
Tonya Evinger,39.00,
Yana Kunitskaya,,
Amanda Lemos,,
Talita Bernardo,68.00,40.00
Aspen Ladd,,
Macy Chiasson,72.50,
Liz Carmouche,66.00,37.00
Alexis Davis,68.00,37.50
Jessica Eye,66.00,38.00
Roxanne Modafferi,69.00,38.00
Joanna Jedrzejczyk,65.50,35.00
Lauren Murphy,38.00,
Paige VanZant,"Nov. 22, 2014",65.00
Ashlee Evans-Smith,"Dec. 06, 2014",67.00
Maryna Moroz,"Apr. 11, 2015",67.00
Valentina Shevchenko,"Dec. 19, 2015",65.50
Justine Kish,"Jan. 03, 2016",64.00
Katlyn Chookagian,68.00,42.00
JJ Aldrich,67.50,37.00
Joanne Calderwood,"Dec. 12, 2014",65.50
Veronica Macedo,"Sep. 03, 2016",64.00
Lucie Pudilova,67.50,42.00
Ji Yeon Kim,72.00,37.50
Mara Romero Borella,69.50,38.00
Kalindra Faria,63.00,38.00
Poliana Botelho,67.00,39.00
Jessica-Rose Clark,64.50,39.00
Wu Yanan,66.00,39.00
Nadia Kassem,66.00,38.50
Nicco Montano,65.00,37.50
Melinda Fábián,37.00,
Montana De La Rosa,,
Rachael Ostovich,62.00,38.50
Shana Dobson,,
Gillian Robertson,,
Priscila Cachoeira,,
Lauren Mueller,67.00,38.00
Andrea Lee,69.50,37.00
Molly McCann,62.00,37.00
Sijara Eubanks,,
Jennifer Maia,,
Mayra Bueno Silva,,
Maycee Barber,65.00,36.00
Antonina Shevchenko,67.00,41.00
Ariane Lipski,"Jan. 19, 2019",
Taila Santos,,
Sabina Mazo,,
Jessica Andrade,62.00,35.25
Claudia Gadelha,63.00,32.00
Nina Ansaroff,64.00,39.00
Carla Esparza,"Dec. 12, 2014",63.00
Rose Namajunas,"Dec. 12, 2014",65.00
Jessica Penne,"Dec. 12, 2014",67.00
Randa Markos,"Dec. 12, 2014",63.50
Felice Herrig,65.00,36.00
Tecia Torres,"Dec. 12, 2014",60.50
Alex Chambers,"Dec. 12, 2014",63.00
Angela Hill,64.50,38.50
Michelle Waterson,62.00,35.50
Cortney Casey,67.00,
Jessica Aguilar,"Aug. 01, 2015",63.00
Karolina Kowalkiewicz,"Dec. 19, 2015",64.00
