Name,Age,Ht.,Nickname,Endeavor record,MMA record,Weight Class,Weight Class Index,Overall Wins,Overall Losses,UFC Wins,UFC Losses
Jessica-Rose Clark,31,64.17309999999999,Jessy Jess,2 1,9 5 (1 NC),"Women""s Flyweight",10,9 ,5  ,2 ,1
Wu Yanan,23,68.8975,Mulan,1 1,10 2,"Women""s Flyweight",10,10, 2,1 ,1
Nadia Kassem,23,66.92899999999999,187,1 1,5 1,"Women""s Flyweight",10,5 ,1,1 ,1
Nicco Montaño,30,64.9605,,1 0,4 2,"Women""s Flyweight",10,4 ,2,1 ,0
Melinda Fábián,31,66.1416,,0 1 1,4 4 2,"Women""s Flyweight",10,4 ,4 2,0 ,1 1
Montana De La Rosa,24,66.92899999999999,,3 0,10 4,"Women""s Flyweight",10,10, 4,3 ,0
Rachael Ostovich,28,62.992,,1 2,4 5,"Women""s Flyweight",10,4 ,5,1 ,2
Shana Dobson,30,66.1416,Danger,1 1,3 2,"Women""s Flyweight",10,3 ,2,1 ,1
Gillian Robertson,23,61.8109,The Savage,3 1,6 3,"Women""s Flyweight",10,6 ,3,3 ,1
Priscila Cachoeira,30,66.92899999999999,Zombie Girl,0 2,8 2,"Women""s Flyweight",10,8 ,2,0 ,2
Lauren Mueller,27,64.9605,Princess Tiger,1 2,5 2,"Women""s Flyweight",10,5 ,2,1 ,2
Andrea Lee,30,66.1416,KGB,2 0,10 2,"Women""s Flyweight",10,10, 2,2 ,0
Molly McCann,29,64.17309999999999,Meatball,1 1,8 2,"Women""s Flyweight",10,8 ,2,1 ,1
Sijara Eubanks,34,64.17309999999999,SarJ,2 0,4 2,"Women""s Flyweight",10,4 ,2,2 ,0
Jennifer Maia,30,64.17309999999999,,1 1,16 5 1,"Women""s Flyweight",10,16, 5 ,1 ,1
Mayra Bueno Silva,27,66.1416,Sheetara,1 0,5 0,"Women""s Flyweight",10,5 ,0,1 ,0
Maycee Barber,20,66.92899999999999,The Future,2 0,7 0,"Women""s Flyweight",10,7 ,0,2 ,0
Antonina Shevchenko,34,68.11009999999999,Pantera,1 1,7 1,"Women""s Flyweight",10,7 ,1,1 ,1
Ariane Lipski,25,66.1416,Violence Queen,0 1,11 4,"Women""s Flyweight",10,11, 4,0 ,1
Taila Santos,25,64.9605,,0 1,15 1,"Women""s Flyweight",10,15, 1,0 ,1
Sabina Mazo,22,66.92899999999999,Colombian Queen,0 1,6 1,"Women""s Flyweight",10,6 ,1,0 ,1
Jéssica Andrade,27,61.8109,Bate Estaca,10 4,19 6,"Women""s Strawweight",11,19, 6,10, 4
Cláudia Gadelha,30,64.17309999999999,Cláudinha,5 4,16 4,"Women""s Strawweight",11,16, 4,5 ,4
Nina Ansaroff,33,64.9605,The Strina,4 2,10 5,"Women""s Strawweight",11,10, 5,4 ,2
Carla Esparza,31,61.0235,Cookie Monster,5 4,14 6,"Women""s Strawweight",11,14, 6,5 ,4
Rose Namajunas,26,64.9605,Thug,6 2,8 3,"Women""s Strawweight",11,8 ,3,6 ,2
Jessica Penne,36,64.9605,,1 3,12 5,"Women""s Strawweight",11,12, 5,1 ,3
Randa Markos,33,64.17309999999999,Quiet Storm,5 5 1,9 6,"Women""s Strawweight",11,9 ,6,5 ,5 1
Felice Herrig,34,64.17309999999999,Lil' Bulldog,5 3,14 8,"Women""s Strawweight",11,14, 8,5 ,3
Tecia Torres,29,61.0235,The Tiny Tornado,6 4,10 3,"Women""s Strawweight",11,10, 3,6 ,4
Alex Chambers,40,62.992,Astro Girl,1 4,5 5,"Women""s Strawweight",11,5 ,5,1 ,4
Angela Hill,32,62.992,Overkill,4 6,9 6,"Women""s Strawweight",11,9 ,6,4 ,6
Alexandra Albu,28,62.992,Stitch,2 1,3 1,"Women""s Strawweight",11,3 ,1,2 ,1
Michelle Waterson,33,62.992,The Karate Hottie,5 2,17 6,"Women""s Strawweight",11,17, 6,5 ,2
Cortney Casey,32,66.92899999999999,Cast Iron,4 6,8 7,"Women""s Strawweight",11,8 ,7,4 ,6
Jessica Aguilar,37,64.17309999999999,Jag,1 4,20 8,"Women""s Strawweight",11,20, 8,1 ,4
Karolina Kowalkiewicz,33,62.992,Polish Princess,12 4,,"Women""s Strawweight",11,na,n,12, 4
Tatiana Suarez,28,64.9605,,4 0,7 0,"Women""s Strawweight",11,7 ,0,4 ,0
Amanda Cooper,27,62.992,ABC,2 4,3 5,"Women""s Strawweight",11,3 ,5,2 ,4
Alexa Grasso,25,64.9605,,2 2,10 2,"Women""s Strawweight",11,10, 2,2 ,2
Ashley Yoder,31,66.92899999999999,Spider Monkey,1 3,6 4,"Women""s Strawweight",11,6 ,4,1 ,3
Cynthia Calvillo,31,64.17309999999999,,5 1,8 1,"Women""s Strawweight",11,8 ,1,5 ,1
Syuri Kondo,30,64.17309999999999,,1 2,6 2,"Women""s Strawweight",11,6 ,2,1 ,2
Jodie Esquibel,33,61.0235,,0 3,6 5,"Women""s Strawweight",11,6 ,5,0 ,3
Yan Xiaonan,29,64.9605,Nine,3 0,9 1 (1 NC),"Women""s Strawweight",11,9 ,1  ,3 ,0
Emily Whitmire,27,64.9605,Spitfire,2 1,4 2,"Women""s Strawweight",11,4 ,2,2 ,1
Polyana Viana,26,66.92899999999999,Dama de Ferro,1 2,10 3,"Women""s Strawweight",11,10, 3,1 ,2
Maia Stevenson,37,64.17309999999999,,0 1,6 5,"Women""s Strawweight",11,6 ,5,0 ,1
Mackenzie Dern,26,62.992,,2 0,7 0,"Women""s Strawweight",11,7 ,0,2 ,0
Weili Zhang,29,62.992,,3 0,19 1,"Women""s Strawweight",11,19, 1,3 ,0
Livia Renata Souza,28,64.17309999999999,Livinha,2 0,13 1,"Women""s Strawweight",11,13, 1,2 ,0
Marina Rodriguez,32,66.92899999999999,,1 0 1,11 0 1,"Women""s Strawweight",11,11, 0 ,1 ,0 1
Hannah Cifers,26,61.0235,Shockwave,1 1,9 3,"Women""s Strawweight",11,9 ,3,1 ,1
Sarah Frota,32,66.1416,A Treta,0 1,9 1,"Women""s Strawweight",11,9 ,1,0 ,1
Virna Jandiroba,30,62.992,Carcará,0 1,14 1,"Women""s Strawweight",11,14, 1,0 ,1
