Name,Age,Ht.,Nickname,Endeavor record,MMA record,Weight Class,Weight Class Index,Overall Wins,Overall Losses,UFC Wins,UFC Losses
Alberto Mina,37,72.0471,Soldier of God,3 1,13 1,Welterweight,3,13, 1,3 ,1
Shinsho Anzai,33,68.11009999999999,Animal,2 2,10 3,Welterweight,3,10, 3,2 ,2
Leon Edwards,27,72.0471,Rocky,9 2,17 3,Welterweight,3,17, 3,9 ,2
Bryan Barberena,30,72.0471,Bam Bam,5 4,14 6,Welterweight,3,14, 6,5 ,4
Alex Oliveira,31,70.866,Cowboy,9 5 (1 NC),19 7 1 (2 NC),Welterweight,3,19, 7 ,9 ,5  
Bartosz Fabinski,33,72.0471,The Butcher,3 1,14 3,Welterweight,3,14, 3,3 ,1
Darren Till,26,72.0471,The Gorilla,5 2 1,17 2 1,Welterweight,3,17, 2 ,5 ,2 1
Elizeu Zaleski dos Santos,32,70.866,Capoeira,7 1,21 5,Welterweight,3,21, 5,7 ,1
Kamaru Usman,31,72.0471,The Nigerian Nightmare,10 0,15 1,Welterweight,3,15, 1,10, 0
Vicente Luque,27,70.866,The Silent Assassin,8 2,15 6 1,Welterweight,3,15, 6 ,8 ,2
Lyman Good,33,72.0471,Cyborg,2 2,20 5 (1 NC),Welterweight,3,20, 5 ,2 ,2
Danny Roberts,31,72.0471,Hot Chocolate,5 3,16 4,Welterweight,3,16, 4,5 ,3
Nathan Coy,40,70.0786,Soulforce,1 2,15 7,Welterweight,3,15, 7,1 ,2
Alex Morono,28,70.866,The Great White,5 2 (1 NC),16 5 (1 NC),Welterweight,3,16, 5 ,5 ,2  
Randy Brown,28,75.19669999999999,Rude Boy,4 3,10 3,Welterweight,3,10, 3,4 ,3
Mickey Gall,27,74.01559999999999,,4 2,5 2,Welterweight,3,5 ,2,4 ,2
Mike Jackson,34,74.01559999999999,The Truth,1 1,1 1,Welterweight,3,1 ,1,1 ,1
Luan Chagas,25,70.866,Tarzan,1 2 1,15 3 1,Welterweight,3,15, 3 ,1 ,2 1
Belal Muhammad,30,70.0786,Remember the Name,6 3,15 3,Welterweight,3,15, 3,6 ,3
Mike Perry,27,70.0786,Platinum,6 4,13 4,Welterweight,3,13, 4,6 ,4
Max Griffin,33,72.0471,Pain,3 4,15 6,Welterweight,3,15, 6,3 ,4
CM Punk,40,74.01559999999999,CM Punk,0 2,0 2,Welterweight,3,0 ,2,0 ,2
Zak Ottow,32,70.866,The Barbarian,4 4,17 7,Welterweight,3,17, 7,4 ,4
Abdul Razak Alhassan,33,70.0786,Judo Thunder,4 1,10 1,Welterweight,3,10, 1,4 ,1
Brian Camozzi,27,74.01559999999999,Mantis,0 3,7 5,Welterweight,3,7 ,5,0 ,3
Emil Meek,30,70.866,Valhalla,1 2,9 4 (1 NC),Welterweight,3,9 ,4  ,1 ,2
Niko Price,29,72.0471,The Hybrid,5 2 (1 NC),13 2 (1 NC),Welterweight,3,13, 2 ,5 ,2  
Luke Jumeau,31,70.866,The Jedi,2 1,13 4,Welterweight,3,13, 4,2 ,1
Frank Camacho,29,68.8975,The Crank,1 3,21 7,Welterweight,3,21, 7,1 ,3
Ramazan Emeev,31,70.0786,Gorets,3 0,18 3,Welterweight,3,18, 3,3 ,0
Salim Touahri,29,70.866,Grizzly,0 2,10 3,Welterweight,3,10, 3,0 ,2
Song Kenan,29,72.0471,The Assassin,2 1,13 4,Welterweight,3,13, 4,2 ,1
Muslim Salikhov,34,70.866,King of Kung Fu,1 1,14 2,Welterweight,3,14, 2,1 ,1
Curtis Millender,31,75.19669999999999,Curtious,3 2,17 5,Welterweight,3,17, 5,3 ,2
Geoff Neal,28,70.866,Handz of Steel,3 0,11 2,Welterweight,3,11, 2,3 ,0
Ricky Rainey,35,72.8345,The Sniper,0 2,13 6,Welterweight,3,13, 6,0 ,2
Carlo Pedersoli,25,70.866,Semento,1 2,11 3,Welterweight,3,11, 3,1 ,2
Chance Rencountre,32,74.01559999999999,Black Eagle,1 1,13 3,Welterweight,3,13, 3,1 ,1
Hector Aldana,30,68.8975,El Charro,0 2,4 2,Welterweight,3,4 ,2,0 ,2
David Zawada,28,72.0471,Sagat,0 2,16 5,Welterweight,3,16, 5,0 ,2
Alexey Kunchenko,35,70.0786,,2 0,20 0,Welterweight,3,20, 0,2 ,0
Stefan Sekulić,27,72.8345,,0 1,12 3,Welterweight,3,12, 3,0 ,1
Luigi Vendramini,23,68.11009999999999,The Italian Stallion,0 1,8 1,Welterweight,3,8 ,1,0 ,1
Laureano Staropoli,26,72.0471,Pepi,1 0,8 1,Welterweight,3,8 ,1,1 ,0
Dwight Grant,34,72.8345,,2 1,10 2,Welterweight,3,10, 2,2 ,1
Kyle Stewart,30,70.0786,Gunz Up,0 1,11 2,Welterweight,3,11, 2,0 ,1
Ismail Naurdiev,22,72.0471,The Austrian Wonderboy,1 0,18 2,Welterweight,3,18, 2,1 ,0
Ben Askren,34,70.0786,Funky,1 0,19 0 (1 NC),Welterweight,3,19, 0 ,1 ,0
Zelim Imadaev,24,72.0471,,0 1,8 1,Welterweight,3,8 ,1,0 ,1
Takashi Sato,28,70.0786,,1 0,15 2,Welterweight,3,15, 2,1 ,0
Kyle Prepolec,29,70.0786,,0 1,12 6,Welterweight,3,12, 6,0 ,1
